--- Log started at Tue Jan 08 19:24:32 2013

000000.002|  203620.0000kb| 203620.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  203648.0000kb|     28.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec 18 2012/04:46:37) [PUBLIC] <Releases/1_152_Vi>
000000.028|  206376.0000kb|   2728.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.029|  206412.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.229/deploy/LolClient.exe" "64.7.194.199 5192 Zbt61d7V2ULdkWKsv+PXhA== <id_removed>"
000000.030|  206416.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.031|  206508.0000kb|     92.0000kb added| ALWAYS| Maestro Init
000000.036|  206820.0000kb|    312.0000kb added| ALWAYS| Maestro completed init
000000.046|  207800.0000kb|    980.0000kb added| ALWAYS| StartSession called
000000.046|  207808.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.046|  207836.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.046|  207836.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.046|  207836.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.046|  207836.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.046|  207840.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.047|  207840.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.047|  207844.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.061|  208476.0000kb|    632.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00740586) enter
000000.073|  213328.0000kb|   4852.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.145|  216792.0000kb|   3464.0000kb added| ALWAYS| Physical memory: 8589934592
000001.146|  216792.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.146|  216792.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.146|  216792.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.146|  216792.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.146|  216792.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.146|  216792.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.767|  221352.0000kb|   4560.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000003.208|  224464.0000kb|   3112.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.204/deploy/Data/Menu/IMEConfig.xml
000003.256|  224752.0000kb|    288.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.229\deploy\preferences\
000003.256|  224760.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.257|  224760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.257|  224768.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.257|  224768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.381|  224964.0000kb|    196.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.382|  224964.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.382|  224988.0000kb|     24.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.675|  236400.0000kb|  11412.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.224|  238540.0000kb|   2140.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.342|  243604.0000kb|   5064.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.956|  248736.0000kb|   5132.0000kb added| ALWAYS| Connected
000005.956|  248756.0000kb|     20.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000027536ff3, PlatformID: NA1
000005.956|  248760.0000kb|      4.0000kb added| ALWAYS| Received client ID
000005.957|  248628.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000005.957|  248628.0000kb|      0.0000kb added| ALWAYS| Input started
000006.016|  248736.0000kb|    108.0000kb added| ALWAYS| Query Status Req started
000006.145|  248748.0000kb|     12.0000kb added| ALWAYS| Query Status Req ended
000006.145|  248748.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
