--- Log started at Sun Jan 20 21:08:24 2013

000000.001|  215980.0000kb| 215980.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  215996.0000kb|     16.0000kb added| ALWAYS| Build Version: Version 1.0.0.154 (Jan 15 2013/16:06:42) [PUBLIC] <Releases/1_154_Thresh>
000000.026|  217884.0000kb|   1888.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.026|  217916.0000kb|     32.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.232/deploy/LolClient.exe" "spectator 216.133.234.17:8088 Pw0Zf116bFE27PTmqnvM74Mtjlg7jFZO 675811204 <id_removed>"
000000.033|  219044.0000kb|   1128.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.033|  219056.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.033|  219124.0000kb|     68.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.035|  219168.0000kb|     44.0000kb added| ALWAYS| Started System Init
000000.035|  219176.0000kb|      8.0000kb added| ALWAYS| Maestro Init
000000.038|  219376.0000kb|    200.0000kb added| ALWAYS| Maestro completed init
000000.038|  219376.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.042|  219608.0000kb|    232.0000kb added| ALWAYS| StartSession called
000000.042|  219608.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.042|  219632.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.043|  219636.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.043|  219724.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00660e66) enter
000000.067|  230308.0000kb|  10584.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.121|  233856.0000kb|   3548.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.121|  233856.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.121|  233856.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.121|  233856.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.121|  233856.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.740|  238104.0000kb|   4248.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000002.771|  241616.0000kb|   3512.0000kb added|  ERROR| Error: FontConfig(File fontconfig_en_US.txt, Line 1094) - unexpected statement
000003.174|  241552.0000kb|    -64.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.205/deploy/Data/Menu/IMEConfig.xml
000003.179|  241728.0000kb|    176.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.232\deploy\preferences\
000003.179|  241732.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.179|  241732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.179|  241744.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.179|  241756.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.179|  241756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.179|  241756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.179|  241756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.179|  241756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.179|  241756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.179|  241760.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.179|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.179|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.180|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.180|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.180|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.180|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.180|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.180|  241760.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.183|  241968.0000kb|    208.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.183|  241988.0000kb|     20.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.698|  252256.0000kb|  10268.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.393|  255648.0000kb|   3392.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.393|  255648.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000004.410|  255648.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(101aad78) and resolution (1366 x 768) 
000004.410|  255648.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(101aad78) and resolution (683 x 384) 
000004.410|  255648.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000004.505|  260900.0000kb|   5252.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000004.823|  264988.0000kb|   4088.0000kb added| ALWAYS| Sleeping
000004.923|  264988.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.923|  265000.0000kb|     12.0000kb added| ALWAYS| End processing App Update
000004.923|  265000.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.023|  265000.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.023|  265000.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.023|  265000.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.111|  265532.0000kb|    532.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.54
000005.123|  265600.0000kb|     68.0000kb added| ALWAYS| Start processing App Update
000005.123|  265600.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.123|  265600.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.192|  265612.0000kb|     12.0000kb added| ALWAYS| Replay metadata retrieved.
000005.192|  265612.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.223|  265640.0000kb|     28.0000kb added| ALWAYS| Start processing App Update
000005.223|  265640.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.223|  265640.0000kb|      0.0000kb added| ALWAYS| Replay ready.
000005.224|  265508.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000005.224|  265508.0000kb|      0.0000kb added| ALWAYS| Input started
000005.266|  265616.0000kb|    108.0000kb added| ALWAYS| Waiting for server response...
000005.271|  265616.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.275|  265616.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 1
000005.466|  266708.0000kb|   1092.0000kb added| ALWAYS| **** Request chunk 1
000005.466|  266708.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000005.466|  266708.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000005.466|  266740.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
000005.466|  266748.0000kb|      8.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
000005.466|  266748.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.154 [PUBLIC]
000005.467|  266752.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000005.467|  266772.0000kb|     20.0000kb added| ALWAYS| netUID: ffffffff defaultname
000005.467|  266772.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.473|  266808.0000kb|     36.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000005.499|  266808.0000kb|      0.0000kb added| ALWAYS| PlayGame Started
000006.386|  303564.0000kb|  36756.0000kb added| ALWAYS| PlayGame Entered
000006.495|  313392.0000kb|   9828.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
000006.495|  313392.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
000006.495|  313392.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
000006.782|  320360.0000kb|   6968.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
000006.782|  320416.0000kb|     56.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000028480f84, PlatformID: NA1
