--- Log started at Mon Jan 21 21:10:57 2013

000000.001|  216008.0000kb| 216008.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  216024.0000kb|     16.0000kb added| ALWAYS| Build Version: Version 1.0.0.154 (Jan 15 2013/16:06:42) [PUBLIC] <Releases/1_154_Thresh>
000000.030|  218036.0000kb|   2012.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.031|  218068.0000kb|     32.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.232/deploy/LolClient.exe" "64.7.194.229 5101 wm6uiN5fnJF9cnoKGHMQvQ== <id_removed>"
000000.032|  218080.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.033|  218188.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.036|  218228.0000kb|     40.0000kb added| ALWAYS| Maestro completed init
000000.090|  219620.0000kb|   1392.0000kb added| ALWAYS| StartSession called
000000.090|  219620.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.091|  219644.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.091|  219648.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.091|  219736.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00ac0d6e) enter
000000.118|  230256.0000kb|  10520.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.135|  233624.0000kb|   3368.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.135|  233624.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.135|  233624.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.135|  233624.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.135|  233624.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.935|  237900.0000kb|   4276.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000002.965|  241416.0000kb|   3516.0000kb added|  ERROR| Error: FontConfig(File fontconfig_en_US.txt, Line 1094) - unexpected statement
000003.367|  241408.0000kb|     -8.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.205/deploy/Data/Menu/IMEConfig.xml
000003.372|  241588.0000kb|    180.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.232\deploy\preferences\
000003.372|  241592.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.372|  241592.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.372|  241604.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.372|  241616.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.372|  241616.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.372|  241616.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.372|  241616.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.372|  241616.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.373|  241616.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.373|  241620.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.373|  241620.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
