--- Log started at Fri Jan 25 13:16:11 2013

000000.001|  219020.0000kb| 219020.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  219028.0000kb|      8.0000kb added| ALWAYS| Build Version: Version 1.0.0.154 (Jan 15 2013/16:06:42) [PUBLIC] <Releases/1_154_Thresh>
000000.029|  221268.0000kb|   2240.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.029|  221300.0000kb|     32.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.233/deploy/LolClient.exe" "64.7.194.142 5101 63CrngI4m9bNppplx7+YXQ== <id_removed>"
000000.031|  221312.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.032|  221420.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.034|  221596.0000kb|    176.0000kb added| ALWAYS| Maestro completed init
000000.058|  222972.0000kb|   1376.0000kb added| ALWAYS| StartSession called
000000.059|  222980.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.059|  223012.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.059|  223016.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.059|  223104.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00bd0d88) enter
000000.079|  233648.0000kb|  10544.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.140|  237188.0000kb|   3540.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.140|  237188.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.140|  237188.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.140|  237188.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.140|  237188.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.750|  241492.0000kb|   4304.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000002.781|  245008.0000kb|   3516.0000kb added|  ERROR| Error: FontConfig(File fontconfig_en_US.txt, Line 1094) - unexpected statement
000003.182|  244964.0000kb|    -44.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.205/deploy/Data/Menu/IMEConfig.xml
000003.187|  245144.0000kb|    180.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.233\deploy\preferences\
