--- Log started at Sat Jan 26 14:18:15 2013

000000.001|  219216.0000kb| 219216.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  219224.0000kb|      8.0000kb added| ALWAYS| Build Version: Version 1.0.0.154 (Jan 15 2013/16:06:42) [PUBLIC] <Releases/1_154_Thresh>
000000.025|  221144.0000kb|   1920.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.026|  221220.0000kb|     76.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.233/deploy/LolClient.exe" "64.7.194.83 5151 inMyKf8x8bjtMxexDwZhPg== <id_removed>"
000000.027|  221328.0000kb|    108.0000kb added| ALWAYS| Started System Init
000000.028|  221436.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.032|  221700.0000kb|    264.0000kb added| ALWAYS| Maestro completed init
000000.076|  223028.0000kb|   1328.0000kb added| ALWAYS| StartSession called
000000.076|  223036.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.077|  223068.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.077|  223072.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.077|  223160.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::Init(0x01ef059e) enter
000000.097|  233680.0000kb|  10520.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.135|  237144.0000kb|   3464.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.135|  237144.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.135|  237144.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.135|  237144.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.135|  237144.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.758|  241484.0000kb|   4340.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000002.789|  245008.0000kb|   3524.0000kb added|  ERROR| Error: FontConfig(File fontconfig_en_US.txt, Line 1094) - unexpected statement
000003.217|  244856.0000kb|   -152.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.205/deploy/Data/Menu/IMEConfig.xml
000003.221|  245036.0000kb|    180.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.233\deploy\preferences\
000003.222|  245040.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.222|  245040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
