--- Log started at Mon Feb 18 23:06:39 2013

000000.001|  215980.0000kb| 215980.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  216012.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 3.02.0.38 (Feb 15 2013/20:42:35) [PUBLIC] <Releases/3.02>
000000.029|  218152.0000kb|   2140.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.029|  218188.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.241/deploy/LolClient.exe" "spectator 216.133.234.17:8088 vTk7l4sEC4BkLVZlXQ8fLxyJ2ZBhpy1n 714775678 <id_removed>"
000000.037|  219264.0000kb|   1076.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.037|  219280.0000kb|     16.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.037|  219280.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.038|  219292.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.038|  219292.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.041|  219524.0000kb|    232.0000kb added| ALWAYS| Maestro completed init
000000.041|  219524.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.066|  219748.0000kb|    224.0000kb added| ALWAYS| StartSession called
000000.066|  219772.0000kb|     24.0000kb added| ALWAYS| Started Init event arguments
000000.067|  219804.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.067|  219808.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.067|  219924.0000kb|    116.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0042080e) enter
000000.078|  222276.0000kb|   2352.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.137|  225880.0000kb|   3604.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.137|  225880.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.137|  225880.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.137|  225880.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.137|  225880.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.301|  236984.0000kb|  11104.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.306|  234204.0000kb|  -2780.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.212/deploy/Data/Menu/IMEConfig.xml
000003.312|  234360.0000kb|    156.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.241\deploy\preferences\
000003.312|  234364.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.312|  234364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.312|  234372.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.312|  234388.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.313|  234388.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.313|  234388.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.313|  234388.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.313|  234388.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.313|  234388.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.313|  234392.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.313|  234392.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
