--- Log started at Wed Feb 20 11:42:01 2013

000000.001|  211972.0000kb| 211972.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  212048.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 3.02.0.38 (Feb 15 2013/20:42:35) [PUBLIC] <Releases/3.02>
000000.091|  213720.0000kb|   1672.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.091|  213756.0000kb|     36.0000kb added| ALWAYS| 
000000.103|  214788.0000kb|   1032.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.103|  214796.0000kb|      8.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.104|  214796.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.105|  214796.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.105|  214796.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000001.115|  218624.0000kb|   3828.0000kb added| ALWAYS| Maestro completed init
000001.115|  218624.0000kb|      0.0000kb added| ALWAYS| Replay mode
000001.144|  218848.0000kb|    224.0000kb added| ALWAYS| StartSession called
000001.144|  218856.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000001.144|  218880.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000001.144|  218884.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000001.145|  219000.0000kb|    116.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0025072a) enter
000001.281|  221044.0000kb|   2044.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.281|  221044.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.281|  221044.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2282
000001.281|  221044.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.281|  221044.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.476|  221460.0000kb|    416.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000004.655|  235920.0000kb|  14460.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000004.747|  233132.0000kb|  -2788.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.212/deploy/Data/Menu/IMEConfig.xml
000004.773|  233284.0000kb|    152.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.241\deploy\preferences\
000004.773|  233288.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000004.773|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000004.773|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000004.773|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000004.773|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000004.774|  233288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000004.774|  233296.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000004.774|  233312.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000004.775|  233312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000004.775|  233312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000004.775|  233312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000004.775|  233312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000004.775|  233312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000004.775|  233316.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000004.775|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(30)
000004.776|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(31)
000004.776|  233316.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(32)
000004.875|  233524.0000kb|    208.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000004.875|  233544.0000kb|     20.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.178|  237124.0000kb|   3580.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.54
000005.259|  241704.0000kb|   4580.0000kb added|  ERROR| ReplayServerConnection GetGameMetaData error. HTTP status code: 500
000005.259|  241708.0000kb|      4.0000kb added|  ERROR| Replay metadata retrieve Failure!!
000005.259|  241708.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 6855
000006.364|  246284.0000kb|   4576.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000007.964|  249840.0000kb|   3556.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000007.964|  249844.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000007.980|  249876.0000kb|     32.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(101ed080) and resolution (1366 x 768) 
000007.980|  249876.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(101ed080) and resolution (683 x 384) 
000007.980|  249880.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000008.403|  254932.0000kb|   5052.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000008.950|  259000.0000kb|   4068.0000kb added| ALWAYS| Sleeping
