--- Log started at Tue Feb 26 11:21:26 2013

000000.001|  216916.0000kb| 216916.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  216932.0000kb|     16.0000kb added| ALWAYS| Build Version: Version 3.02.0.38 (Feb 15 2013/20:42:35) [PUBLIC] <Releases/3.02>
000000.030|  218724.0000kb|   1792.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.031|  218764.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.241/deploy/LolClient.exe" "64.7.194.38 5161 C/k1sNje6R17xeDOtUWNUA== <id_removed>"
000000.081|  219272.0000kb|    508.0000kb added| ALWAYS| Started System Init
000000.083|  219364.0000kb|     92.0000kb added| ALWAYS| Maestro Init
000000.086|  219528.0000kb|    164.0000kb added| ALWAYS| Maestro completed init
000000.116|  220608.0000kb|   1080.0000kb added| ALWAYS| StartSession called
000000.116|  220616.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.117|  220648.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.117|  220652.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.117|  220768.0000kb|    116.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00120554) enter
000000.132|  225592.0000kb|   4824.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.134|  229252.0000kb|   3660.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.134|  229252.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.134|  229252.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.134|  229252.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.134|  229252.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.257|  240204.0000kb|  10952.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.262|  237420.0000kb|  -2784.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.212/deploy/Data/Menu/IMEConfig.xml
000003.267|  237624.0000kb|    204.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.241\deploy\preferences\
000003.267|  237628.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.267|  237628.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.267|  237636.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.267|  237652.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.267|  237652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.267|  237652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.267|  237652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.267|  237652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.268|  237652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.268|  237656.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(30)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(31)
000003.268|  237656.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(32)
000003.271|  237868.0000kb|    212.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.271|  237888.0000kb|     20.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.569|  250664.0000kb|  12776.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.256|  254240.0000kb|   3576.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.256|  254244.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000005.272|  254244.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(105df970) and resolution (1366 x 768) 
000005.272|  254244.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(105df970) and resolution (683 x 384) 
000005.273|  254252.0000kb|      8.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000005.360|  259568.0000kb|   5316.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.887|  265036.0000kb|   5468.0000kb added| ALWAYS| Connected
000005.887|  265052.0000kb|     16.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002b301d22, PlatformID: NA1
000005.887|  265052.0000kb|      0.0000kb added| ALWAYS| Received client ID
000005.888|  264916.0000kb|   -136.0000kb added| ALWAYS| Set focus to app
000005.888|  264916.0000kb|      0.0000kb added| ALWAYS| Input started
