--- Log started at Sun Mar 03 14:39:47 2013

000000.001|  223228.0000kb| 223228.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  223260.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 3.03.0.199 (Feb 28 2013/10:52:38) [PUBLIC] <Releases/3.03_Quinn>
000000.025|  224968.0000kb|   1708.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.025|  225008.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.247/deploy/LolClient.exe" "216.133.234.203 5134 5ALjA2PHqV6qtAtvdQYoHg== <id_removed>"
000000.026|  225024.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.027|  225148.0000kb|    124.0000kb added| ALWAYS| Maestro Init
000000.030|  225560.0000kb|    412.0000kb added| ALWAYS| Maestro completed init
000000.040|  226740.0000kb|   1180.0000kb added| ALWAYS| StartSession called
000000.040|  226748.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.040|  226776.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.041|  226780.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.041|  226884.0000kb|    104.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001c06a8) enter
000000.061|  237420.0000kb|  10536.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.148|  240964.0000kb|   3544.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.148|  240964.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.148|  240964.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2330
000001.148|  240964.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.148|  240964.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.199|  252112.0000kb|  11148.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.205|  249304.0000kb|  -2808.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.217/deploy/Data/Menu/IMEConfig.xml
000003.210|  249480.0000kb|    176.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.247\deploy\preferences\
000003.210|  249484.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.210|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.211|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.211|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.211|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.211|  249484.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.211|  249500.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.211|  249500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.211|  249500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.211|  249500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.211|  249500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.211|  249500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.211|  249504.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(30)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(31)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(32)
000003.211|  249504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(33)
