--- Log started at Thu Mar 21 21:05:41 2013

000000.001|  223308.0000kb| 223308.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  223320.0000kb|     12.0000kb added| ALWAYS| Build Version: Version 3.04.0.78 (Mar 13 2013/15:58:31) [PUBLIC] <Releases/3.04> ChangeList: 216026
000000.328|  225764.0000kb|   2444.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.328|  225820.0000kb|     56.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.253/deploy/LolClient.exe" "64.7.194.69 5132 vsS+YWjOCAPT6++D9QSYVw== <id_removed>"
000000.330|  225832.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.331|  225944.0000kb|    112.0000kb added| ALWAYS| Maestro Init
000000.360|  228852.0000kb|   2908.0000kb added| ALWAYS| Maestro completed init
000000.530|  230220.0000kb|   1368.0000kb added| ALWAYS| StartSession called
000000.530|  230220.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.530|  230248.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.530|  230252.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.530|  230356.0000kb|    104.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0052060e) enter
000001.053|  240784.0000kb|  10428.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.469|  243504.0000kb|   2720.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.470|  243504.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.470|  243504.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.470|  243504.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
