--- Log started at Fri Mar 22 15:37:02 2013

000000.002|  223648.0000kb| 223648.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  223680.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 3.04.0.78 (Mar 13 2013/15:58:31) [PUBLIC] <Releases/3.04> ChangeList: 216026
000000.027|  225472.0000kb|   1792.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.027|  225524.0000kb|     52.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.253/deploy/LolClient.exe" "spectator 216.133.234.17:8088 kwqPdOlEqVWe3XO+p6E+XI9OKjrO68jK 757355822 <id_removed>"
000000.034|  226716.0000kb|   1192.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.034|  226724.0000kb|      8.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.034|  226724.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.035|  226828.0000kb|    104.0000kb added| ALWAYS| Started System Init
000000.035|  226828.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.042|  229708.0000kb|   2880.0000kb added| ALWAYS| Maestro completed init
000000.042|  229708.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.113|  230028.0000kb|    320.0000kb added| ALWAYS| StartSession called
000000.113|  230044.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.114|  230072.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.114|  230076.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.114|  230180.0000kb|    104.0000kb added| ALWAYS| r3dRenderLayer::Init(0x002b07c2) enter
000000.153|  240720.0000kb|  10540.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.277|  244452.0000kb|   3732.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.277|  244452.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.278|  244452.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.278|  244452.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.278|  244452.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.323|  255980.0000kb|  11528.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.416|  253172.0000kb|  -2808.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.220/deploy/Data/Menu/IMEConfig.xml
000003.452|  253336.0000kb|    164.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.253\deploy\preferences\
000003.452|  253344.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.453|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.454|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.454|  253344.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.454|  253352.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.454|  253360.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.454|  253360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.454|  253360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.454|  253360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.454|  253360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.454|  253364.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(30)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(31)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(32)
000003.455|  253364.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(33)
000003.601|  253488.0000kb|    124.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.601|  253512.0000kb|     24.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.261|  263696.0000kb|  10184.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.138|  267872.0000kb|   4176.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.54
000005.272|  267824.0000kb|    -48.0000kb added| ALWAYS| Replay metadata retrieved.
000005.272|  267836.0000kb|     12.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.428|  267404.0000kb|   -432.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.432|  267684.0000kb|    280.0000kb added| ALWAYS| ---- Downloading Chunk 1
000005.705|  268940.0000kb|   1256.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.710|  268968.0000kb|     28.0000kb added| ALWAYS| ---- Downloading Chunk 2
000005.974|  269076.0000kb|    108.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.974|  269076.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000005.979|  269076.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.983|  269076.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 3
000005.990|  269100.0000kb|     24.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(1087abd0) and resolution (1366 x 768) 
000005.990|  269100.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(1087abd0) and resolution (683 x 384) 
000005.990|  269104.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000006.140|  273960.0000kb|   4856.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.216|  274472.0000kb|    512.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.220|  274488.0000kb|     16.0000kb added| ALWAYS| ---- Downloading Chunk 4
000006.455|  277096.0000kb|   2608.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.460|  277124.0000kb|     28.0000kb added| ALWAYS| ---- Downloading Chunk 5
000006.736|  277008.0000kb|   -116.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.741|  277040.0000kb|     32.0000kb added| ALWAYS| ---- Downloading Chunk 6
000006.837|  277044.0000kb|      4.0000kb added| ALWAYS| Replay ready.
000006.838|  276920.0000kb|   -124.0000kb added| ALWAYS| Set focus to app
000006.838|  276920.0000kb|      0.0000kb added| ALWAYS| Input started
000006.861|  276968.0000kb|     48.0000kb added| ALWAYS| ==== Fetch All Chunks Phase ====
000006.862|  276968.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.870|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.871|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.872|  276968.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.906|  277060.0000kb|     92.0000kb added| ALWAYS| Waiting for server response...
000007.006|  277060.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 1
000007.006|  277060.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000007.006|  277060.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000007.006|  277072.0000kb|     12.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002d24552e, PlatformID: NA1
000007.007|  277080.0000kb|      8.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002d24552e, PlatformID: NA1
000007.007|  277080.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 3.04.0.78 [PUBLIC]
