--- Log started at Mon Mar 25 13:49:53 2013

000000.001|  223632.0000kb| 223632.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  223664.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 3.04.0.78 (Mar 13 2013/15:58:31) [PUBLIC] <Releases/3.04> ChangeList: 216026
000000.027|  225472.0000kb|   1808.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.027|  225520.0000kb|     48.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.253/deploy/LolClient.exe" "216.133.234.133 5167 ZBH4a0Za8TmftizAqG4dvA== <id_removed>"
000000.029|  225532.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.030|  225748.0000kb|    216.0000kb added| ALWAYS| Maestro Init
000000.038|  228928.0000kb|   3180.0000kb added| ALWAYS| Maestro completed init
000000.061|  230060.0000kb|   1132.0000kb added| ALWAYS| StartSession called
000000.061|  230060.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.061|  230088.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.061|  230092.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.061|  230196.0000kb|    104.0000kb added| ALWAYS| r3dRenderLayer::Init(0x003f06b2) enter
000000.073|  232564.0000kb|   2368.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.114|  236304.0000kb|   3740.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.114|  236304.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.114|  236304.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.114|  236304.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.114|  236304.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.194|  247236.0000kb|  10932.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.199|  244424.0000kb|  -2812.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.220/deploy/Data/Menu/IMEConfig.xml
000003.204|  244596.0000kb|    172.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.253\deploy\preferences\
000003.204|  244604.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.204|  244604.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.204|  244612.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.204|  244620.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.204|  244620.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.204|  244620.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.205|  244620.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.205|  244620.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.205|  244624.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(30)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(31)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(32)
000003.205|  244624.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(33)
000003.208|  244740.0000kb|    116.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.208|  244764.0000kb|     24.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.733|  257352.0000kb|  12588.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.740|  261344.0000kb|   3992.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.740|  261344.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000004.758|  261344.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(1087bd40) and resolution (1366 x 768) 
000004.758|  261344.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(1087bd40) and resolution (683 x 384) 
000004.758|  261348.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000004.851|  266112.0000kb|   4764.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.478|  269268.0000kb|   3156.0000kb added| ALWAYS| Connected
000005.478|  269280.0000kb|     12.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002d675c9a, PlatformID: NA1
000005.478|  269284.0000kb|      4.0000kb added| ALWAYS| Received client ID
000005.479|  269148.0000kb|   -136.0000kb added| ALWAYS| Set focus to app
000005.479|  269148.0000kb|      0.0000kb added| ALWAYS| Input started
