--- Log started at Tue Mar 26 12:56:08 2013

000000.001|  223544.0000kb| 223544.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  223576.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 3.04.0.78 (Mar 13 2013/15:58:31) [PUBLIC] <Releases/3.04> ChangeList: 216026
000000.044|  225760.0000kb|   2184.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.044|  225808.0000kb|     48.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.253/deploy/LolClient.exe" "216.133.234.102 5144 +tAxmPIqypyHOi1hPUSv6A== <id_removed>"
000000.046|  225820.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.047|  225936.0000kb|    116.0000kb added| ALWAYS| Maestro Init
000000.055|  228840.0000kb|   2904.0000kb added| ALWAYS| Maestro completed init
000000.162|  229940.0000kb|   1100.0000kb added| ALWAYS| StartSession called
000000.162|  229952.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.162|  230008.0000kb|     56.0000kb added| ALWAYS| Waiting until connection...
000000.163|  230012.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.163|  230116.0000kb|    104.0000kb added| ALWAYS| r3dRenderLayer::Init(0x002b094c) enter
000000.184|  240648.0000kb|  10532.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.549|  247576.0000kb|   6928.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.549|  247576.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.549|  247576.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.549|  247576.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.549|  247576.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.404|  255676.0000kb|   8100.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.441|  252872.0000kb|  -2804.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.220/deploy/Data/Menu/IMEConfig.xml
