--- Log started at Tue Apr 23 18:08:48 2013

000000.001|  228564.0000kb| 228564.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  228644.0000kb|     80.0000kb added| ALWAYS| Build Version: Version 3.5.0.71 (Apr  4 2013/20:31:44) [PUBLIC] <Releases/3.5_Balance> ChangeList: 231948
000000.097|  231088.0000kb|   2444.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.097|  231100.0000kb|     12.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.1.0/deploy/LolClient.exe" "192.64.170.145 5143 tVg6kA+XL9O8/bYAWY+1og== <id_removed>"
000000.099|  231100.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.108|  231208.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.141|  235640.0000kb|   4432.0000kb added| ALWAYS| Maestro completed init
000000.352|  236936.0000kb|   1296.0000kb added| ALWAYS| StartSession called
000000.352|  236944.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.352|  236972.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.352|  236972.0000kb|      0.0000kb added| ALWAYS| InitRenderer() enter
000000.352|  237064.0000kb|     92.0000kb added| ALWAYS| r3dRenderLayer::Init(0x009307f0) enter
000000.691|  239440.0000kb|   2376.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.517|  241852.0000kb|   2412.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.517|  241852.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.517|  241852.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2325
000001.517|  241852.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.517|  241852.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.912|  252932.0000kb|  11080.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000004.062|  249872.0000kb|  -3060.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.223/deploy/Data/Menu/IMEConfig.xml
000004.120|  250016.0000kb|    144.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.1.0\deploy\preferences\
000004.297|  250144.0000kb|    128.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000004.297|  250160.0000kb|     16.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.859|  262784.0000kb|  12624.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000007.517|  266688.0000kb|   3904.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000007.517|  266688.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000007.533|  266688.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(103b13c0) and resolution (1366 x 768) 
000007.534|  266688.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(103b13c0) and resolution (683 x 384) 
000007.534|  266688.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000007.838|  271340.0000kb|   4652.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000008.410|  274416.0000kb|   3076.0000kb added| ALWAYS| Sleeping
000008.510|  274416.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.511|  274416.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.511|  274416.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.610|  274416.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.611|  274416.0000kb|      0.0000kb added| ALWAYS| Connected
000008.611|  274416.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000003022b831, PlatformID: NA1
