--- Log started at Thu Apr 25 13:00:56 2013

000000.001|  228616.0000kb| 228616.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  228712.0000kb|     96.0000kb added| ALWAYS| Build Version: Version 3.5.0.71 (Apr  4 2013/20:31:44) [PUBLIC] <Releases/3.5_Balance> ChangeList: 231948
000000.030|  230720.0000kb|   2008.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.030|  230728.0000kb|      8.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.1.0/deploy/LolClient.exe" "216.133.234.75 5101 YXPZeKWpx7l2XtCRfXr0hg== <id_removed>"
000000.042|  230980.0000kb|    252.0000kb added| ALWAYS| Started System Init
000000.044|  231080.0000kb|    100.0000kb added| ALWAYS| Maestro Init
000000.056|  234020.0000kb|   2940.0000kb added| ALWAYS| Maestro completed init
000000.068|  235060.0000kb|   1040.0000kb added| ALWAYS| StartSession called
000000.068|  235060.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.069|  235060.0000kb|      0.0000kb added| ALWAYS| Waiting until connection...
000000.069|  235060.0000kb|      0.0000kb added| ALWAYS| InitRenderer() enter
000000.069|  235152.0000kb|     92.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00200626) enter
000000.092|  248188.0000kb|  13036.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.246|  253152.0000kb|   4964.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.246|  253152.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.246|  253152.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.246|  253152.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.246|  253152.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.280|  263664.0000kb|  10512.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.288|  260568.0000kb|  -3096.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.223/deploy/Data/Menu/IMEConfig.xml
000003.294|  260672.0000kb|    104.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.1.0\deploy\preferences\
000003.324|  260812.0000kb|    140.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
